"","...1","...2","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","trophic_group","trophic_assigned","sampling_method","sampling_month","sampling_season","disturbance_type","comparison_type","disturbance_av","control_av","disturbance_av_before","control_av_before","dist_var","control_var","dist_var_before","control_var_before","var_type","dist_n","control_n","significant","approx_p_val","exact_p_val","sample_area","sampling_depth","perc_during_dist","perc_annual_dist","time_after_dist_start","time_after_dist_end","TN","SOC","soil_moisture","phylum","Taxa_Class","Taxa_subclass","superorder","Taxa_order","Functional_group_size","total_carbon","bulk_density","available_WSC","clay","sand","silt","ph","organic_carbon","lat","lon","forest_type","deciduous_coniferous","plantation","plot_area","mean_annual_precipitation","mean_annual_temperature","soil_pH","soil_type","temp_bio","precip_bio","sand_usda","silt_usda","clay_usda","temp","precip","trophic_all","temp.1","precip.1","precip_seasonality","temp_seasonality","aridity"
"11","247","11","Bakonyi_2007a","Bakonyi_2007a_1","alpha diversity","richness","FALSE","Nematoda",NA,NA,"Cobb's decanting and sieving method",NA,"Spring","drought","undisturbed vs disturbed",23.7,22.6,NA,NA,3.1,2.7,NA,NA,"SD",27,27,"FALSE",">0.05",0.538,12.6,10,100,16.67,760,NA,0.03,NA,8.480389176,"Nematoda",NA,NA,NA,NA,"microfauna",6.336,1.28,1,22,39,39,6.6,1.65,46.88333333,19.38333333,"temperate seasonal forest","mixed","FALSE",20,575,10.5,NA,"sandy",10.8999996185303,537,93,7,5,10.5,575,NA,10.8999996185303,53.7,25,7772,0.587755142026928
"12","248","12","Bakonyi_2007a","Bakonyi_2007a_1","abundance",NA,"FALSE","Nematoda",NA,NA,"Cobb's decanting and sieving method",NA,"Spring","drought","undisturbed vs disturbed",0.36,0.4,NA,NA,0.1,0.12,NA,NA,"SD",27,27,"FALSE",">0.05",0.54,12.6,10,100,16.67,760,NA,0.03,NA,8.480389176,"Nematoda",NA,NA,NA,NA,"microfauna",6.336,1.28,1,22,39,39,6.6,1.65,46.88333333,19.38333333,"temperate seasonal forest","mixed","FALSE",20,575,10.5,NA,"sandy",10.8999996185303,537,93,7,5,10.5,575,NA,10.8999996185303,53.7,25,7772,0.587755142026928
"13","4","33","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",4.421052632,0,NA,NA,NA,NA,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,154,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"14","5","34","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",4.421052632,4.92957746,NA,NA,NA,2.957746479,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,63,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"15","6","35","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",12.28070175,4.92957746,NA,NA,NA,3.943661972,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,70,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"16","7","36","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",17.68421053,16.7605634,NA,NA,NA,5.915492958,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,77,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"17","8","37","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",10.80701754,10.84507042,NA,NA,NA,4.929577465,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,84,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"18","9","38","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",26.03508772,14.78873239,NA,NA,NA,3.943661972,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,91,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"19","10","39","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",31.43859649,16.76056338,NA,NA,NA,5.422535211,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,98,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"20","11","40","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",12.77192982,11.33802817,NA,NA,NA,5.915492958,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,105,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"21","12","41","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",69.26315789,42.88732394,NA,NA,NA,16.26760563,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,112,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"22","13","42","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",110.5263158,70,NA,NA,NA,17.74647887,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,119,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"23","14","43","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",88.42105263,62.6056338,NA,NA,NA,13.30985915,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,126,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"24","15","44","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",102.1754386,69.01408451,NA,NA,NA,12.32394366,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,133,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"25","16","45","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",102.6666667,47.81690141,NA,NA,NA,13.30985915,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,140,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"26","17","46","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",7.368421053,6.901408451,NA,NA,NA,5.422535211,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,147,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"27","18","47","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",12.28070175,4.436619718,NA,NA,NA,2.957746479,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,154,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"28","19","49","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Acari",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",4.34,3.4,NA,NA,NA,NA,NA,NA,NA,480,480,"TRUE","<0.05",NA,199.5,0,339,339,152,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,"Acariformes",NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"29","32","50","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Araneida",NA,"predator","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",0.082,0.84,NA,NA,NA,NA,NA,NA,NA,480,480,"FALSE",">0.05",NA,199.5,0,339,339,152,NA,0.0152,NA,108,"Arthropoda","Arachnida",NA,NA,"Araneae","macrofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"predator",1.39999997615814,38.3,55,12909,0.678930281259044
"30","70","52","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Chilipoda",NA,"predator","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",0.91,0.86,NA,NA,NA,NA,NA,NA,NA,480,480,"TRUE","<0.05",NA,199.5,0,339,339,152,NA,0.0152,NA,108,"Arthropoda","Chilopoda",NA,NA,NA,"macrofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"predator",1.39999997615814,38.3,55,12909,0.678930281259044
"31","71","51","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Coleoptera",NA,NA,"visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",0.83,0.81,NA,NA,NA,NA,NA,NA,NA,480,480,"FALSE",">0.05",NA,199.5,0,339,339,152,NA,0.0152,NA,108,"Arthropoda","Insecta",NA,NA,"Coleoptera","macrofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,NA,1.39999997615814,38.3,55,12909,0.678930281259044
"32","80","13","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Collembola",NA,"fungivore","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",27.36486486,16.55405405,NA,NA,8.445945946,3.716216216,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,7,NA,0.0152,NA,108,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"fungivore",1.39999997615814,38.3,55,12909,0.678930281259044
"33","81","14","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Collembola",NA,"fungivore","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",14.86486486,5.067567568,NA,NA,7.432432432,5.067567568,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,14,NA,0.0152,NA,108,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"fungivore",1.39999997615814,38.3,55,12909,0.678930281259044
"34","82","15","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Collembola",NA,"fungivore","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",17.90540541,1.351351351,NA,NA,10.13513514,1.351351351,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,21,NA,0.0152,NA,108,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"fungivore",1.39999997615814,38.3,55,12909,0.678930281259044
"35","83","16","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Collembola",NA,"fungivore","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",10.13513514,1.689189189,NA,NA,3.716216216,2.027027027,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,28,NA,0.0152,NA,108,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"fungivore",1.39999997615814,38.3,55,12909,0.678930281259044
"36","84","17","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Collembola",NA,"fungivore","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",44.93243243,23.64864865,NA,NA,6.756756757,9.797297297,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,35,NA,0.0152,NA,108,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"fungivore",1.39999997615814,38.3,55,12909,0.678930281259044
"37","85","18","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Collembola",NA,"fungivore","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",39.18918919,19.59459459,NA,NA,9.121621622,4.391891892,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,42,NA,0.0152,NA,108,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"fungivore",1.39999997615814,38.3,55,12909,0.678930281259044
"38","86","19","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Collembola",NA,"fungivore","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",15.54054054,5.743243243,NA,NA,5.067567568,3.716216216,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,56,NA,0.0152,NA,108,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"fungivore",1.39999997615814,38.3,55,12909,0.678930281259044
"39","87","20","Chikoski_2006a","Chikoski_2006a_1","abundance",NA,"FALSE","Collembola",NA,"fungivore","visual observation",NA,NA,"precip_inc","undisturbed vs disturbed",23.64864865,18.91891892,NA,NA,6.418918919,6.756756757,NA,NA,"SE",24,24,NA,NA,NA,199.5,0,339,339,63,NA,0.0152,NA,108,"Arthropoda","Entognatha","Collembola",NA,NA,"mesofauna",3.6279,1.39,1,9,79,12,5.3,0.87,52.16666667,-105.3166667,"temperate seasonal forest","deciduous","FALSE",997.5,NA,NA,NA,"silty clay loam",1.29999995231628,383,10,56.5,33.5,1.29999995231628,383,"fungivore",1.39999997615814,38.3,55,12909,0.678930281259044
